platform,name,inchikey,pubchem_cid,cas_number,molecular_formula,mz,ri,observed_rt_sec
lc/ms pos early,S-methylcysteine sulfoxide,ZZLHPCSGGOGHFW-UHFFFAOYSA-N,82142,,,152.03759,900.0,52.91
lc/ms pos early,2-hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,43,,,147.02989,958.0,50.05
lc/ms pos early,thioproline,DZLNHFMRPBPULJ-VKHMYHEASA-N,93176,,,134.02703,1250.0,67.76
lc/ms pos early,N1-methyl-4-pyridone-3-carboxamide,KTLRWTOPTKGYQY-UHFFFAOYSA-N,440810,,,153.06586,1260.0,67.96
lc/ms pos early,2-pyrrolidinone,HNJBEVLQSNELDL-UHFFFAOYSA-N,12025,,,86.06004,1262.0,72.33
lc/ms pos early,7-methylxanthine,PFWLFWPASULGAN-UHFFFAOYSA-N,68374,,,167.0564,1350.0,69.58
lc/ms pos early,N1-methylinosine,WJNGQIYEQLPJMN-UHFFFAOYSA-N,650095,,,283.1037,1430.0,78.24
lc/ms pos early,S-1-pyrroline-5-carboxylate,DWAKNKKXGALPNW-UHFFFAOYSA-N,11966181,,,114.05496,1528.0,82.86
lc/ms pos early,propionylcarnitine (C3),UFAHZIUFPNSHSL-UHFFFAOYSA-N,107738,,,218.138684,1589.0,151.98
lc/ms pos early,2-piperidinone,XUWHAWMETYGRKB-UHFFFAOYSA-N,12665,,,100.07569,1675.0,86.2
lc/ms pos early,gamma-glutamylthreonine,GWNXFCYUJXASDX-JUZNGCLZSA-N,76078708,,,249.10812,1750.0,99.61
lc/ms pos early,S-carboxyethylcysteine,CAMXXPUSAROUCX-BYPYZUCNSA-N,,,,194.0482,1785.0,62.15
lc/ms pos early,choline,CRBHXDCYXIISFC-UHFFFAOYSA-N,305,,,104.10699,1961.0,113.25
lc/ms pos early,carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,288,,,162.11247,1978.0,113.73
lc/ms pos early,creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,588,,,114.06619,2055.0,118.69
lc/ms pos early,prolylglycine,RNKSNIBMTUYWSH-YFKPBYRVSA-N,6426709,,,173.09207,2136.0,124.3
lc/ms pos early,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,190,,,136.06178,2221.0,128.05
lc/ms pos early,4-guanidinobutanoate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,500,,,146.09241,2320.0,134.12
lc/ms pos early,cysteine-glutathione disulfide,BNRXZEPOHPEEAS-UHFFFAOYSA-N,3080690,,,427.09519,2465.0,138.26
lc/ms pos early,N6-carboxymethyllysine,NUXSIDPKKIEIMI-UHFFFAOYSA-N,123800,,,205.11829,2500.0,158.73
lc/ms pos early,"N,N-dimethyl-pro-pro",VOWFCBSRZKGKTF-UHFFFAOYSA-N,,,,241.1547,2500.0,142.43
lc/ms pos early,lamivudine,JTEGQNOMFQHVDC-NKWVEPMBSA-N,60825,,,230.0594,2586.0,147.62
lc/ms pos early,tryptophan betaine,AOHCBEAZXHZMOR-ZDUSSCGKSA-N,442106,,,247.14411,2673.0,157.72
lc/ms pos early,oxindolylalanine,YLEQTOAIAOPFBY-UHFFFAOYSA-N,20977764,,,221.0921,2756.0,155.59
lc/ms pos early,N6-methyllysine,PQNASZJZHFPQLE-LURJTMIESA-N,164795,,,161.1285,2831.0,165.52
lc/ms pos late,"cis-3,4-methyleneheptanoylcarnitine",LNGSHJPPGDBEPT-VYAYZGMFSA-N,,,,286.2013,845.0,51.37
