BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
(11 or 12)-methyltridecanoate (a14:0 or i14:0),lipid,Fatty Acids,,,lc/ms neg,227.2017,5413
(12 or 13)-methylmyristate (a15:0 or i15:0),lipid,Fatty Acids,151014,ZOCYQVNGROEVLU-UHFFFAOYSA-N,lc/ms neg,241.2173,5499
(14 or 15)-methylpalmitate (a17:0 or i17:0),lipid,Fatty Acids,17903417,IIUXHTGBZYEGHI-UHFFFAOYSA-M,lc/ms neg,269.2487,5695
(15 or 16)-methylmargarate (a18:0 or i18:0),lipid,Fatty Acids,,,lc/ms neg,,
(15:0)-anacardic acid,xenobiotics,Hydroxybenzoates,167551,ADFWQBGTDJIESE-UHFFFAOYSA-N,lc/ms neg,347.3,5902
(15:2)-anacardic acid,xenobiotics,"Acids, Carbocyclic",190629,NYDNWAYCRJADHT-UHFFFAOYSA-N,lc/ms neg,343.3,5567
(15:3)-anacardic acid,xenobiotics,Salicylates,5388781,QUVGEKPNSCFQIR-AOSYACOCSA-N,lc/ms neg,341.2122,5483
(16 or 17)-methylstearate (a19:0 or i19:0),lipid,Fatty Acids,3083779,YETXGSGCWODRAA-UHFFFAOYSA-N,lc/ms neg,297.2799,5993
(2 or 3)-decenoate (10:1n7 or n8),lipid,Fatty Acids,,,lc/ms neg,169.1234,4990
"(2,4 or 2,5)-dimethylphenol sulfate",xenobiotics,Phenols,,,lc/ms neg,201.0227,3474
(2-butoxyethoxy)acetic acid,xenobiotics,Acetates,106312,MCORDGVZLPBVJB-UHFFFAOYSA-N,lc/ms pos early,177.1121,3177
(3'-5')-adenylyladenosine*,nucleotide,Nucleoside,145459090,GMMUGQUFVSNVPO-JXICNGGMSA-N,lc/ms neg,595.14199,2173
(3'-5')-adenylylcytidine,nucleotide,Nucleoside,145459091,DWFHIYSLVLLZKO-JXICNGGMSA-N,lc/ms neg,571.13076,1920
(3'-5')-adenylylguanosine*,nucleotide,Nucleoside,145459092,LYFOYYRLDJCZCQ-BBSMBACJSA-N,lc/ms neg,611.13691,1980
(3'-5')-adenylyluridine,nucleotide,Nucleotides,112074,RNNPIPQLZRGXIG-KPKSGTNCSA-N,lc/ms neg,572.11478,2002
(3'-5')-cytidylyladenosine,nucleotide,Nucleoside,,,lc/ms neg,571.13076,1754
(3'-5')-cytidylylcytidine*,nucleotide,Nucleoside,,,lc/ms neg,547.11953,1472
(3'-5')-cytidylylguanosine,nucleotide,Nucleoside,145459096,IUQGBHRJUZETOZ-BBSMBACJSA-N,lc/ms neg,587.12567,1537
(3'-5')-cytidylyluridine,dinucleotide,Nucleoside,,,lc/ms neg,548.1036,1522
(3'-5')-cytidylyluridine*,nucleotide,Nucleoside,145459097,XORLJVFIWPZUFM-JXICNGGMSA-N,lc/ms neg,548.10356,1522
(3'-5')-gppc*,nucleotide,Nucleoside,,,lc/ms neg,667.092,1075
(3'-5')-guanylyladenosine*,nucleotide,Nucleoside,145459098,NQOWMBCPCPWXEL-BBSMBACJSA-N,lc/ms neg,611.1369,1950
(3'-5')-guanylylcytidine,nucleotide,Nucleoside,145459099,ZTCBWFLKEVJFKH-BBSMBACJSA-N,lc/ms neg,587.12567,1670
(3'-5')-guanylyluridine,nucleotide,Nucleoside,145459101,LVKKTHQQYLXOKU-BBSMBACJSA-N,lc/ms neg,588.10969,1772
(3'-5')-uridylyladenosine,nucleotide,Nucleoside,,,lc/ms neg,572.1148,1871
(3'-5')-uridylylcytidine,nucleotide,Nucleoside,,,lc/ms neg,548.1036,1591
(3'-5')-uridylylcytidine*,nucleotide,Nucleoside,,,lc/ms neg,548.10356,1591
(3'-5')-uridylylguanosine,nucleotide,Nucleoside,145459104,KVQFZGVDNRPKSJ-BBSMBACJSA-N,lc/ms neg,588.10969,1637
(3'-5')-uridylyluridine,nucleotide,Oxidoreductases,102258,KXSPLNAXPMVUEC-NCOIDOBVSA-N,lc/ms neg,549.08756,1688
(n(1) + n(8))-acetylspermidine,amino acid,Putrescine,496,MQTAVJHICJWXBR-UHFFFAOYSA-N,lc/ms pos early,188.17574,3080
(r)-3-hydroxybutyrylcarnitine,lipid,CAR,53481617,UEFRDQSMQXDWTO-UHFFFAOYSA-N,lc/ms pos early,248.1493,2400
(s)-3-hydroxybutyrylcarnitine,lipid,CAR,155907023,UEFRDQSMQXDWTO-UHFFFAOYSA-N,lc/ms pos early,248.1493,2340
(s)-a-amino-omega-caprolactam,xenobiotics,Lactams,439823,BOWUOGIPSRVRSJ-RXMQYKEDSA-N,lc/ms pos early,129.1022,2378
1-(14 or 15-methyl)palmitoyl-gpc (a17:0 or i17:0)*,,,,,lc/ms neg,,
1-(1-enyl-oleoyl)-2-arachidonoyl-gpe (p-18:1/20:4)*,,,,,lc/ms polar,748.52866,751
1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpc (p-18:1/22:6)*,,p-PC,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpe (p-18:1/22:6)*,,p-PE,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-linoleoyl-gpc (p-18:1/18:2)*,,,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-linoleoyl-gpe (p-18:1/18:2)*,lipid,p-PE,,,lc/ms pos late,726.54322,2324
1-(1-enyl-oleoyl)-2-oleoyl-gpe (p-18:1/18:1),lipid,,,,lc/ms pos late,728.55887,2534
1-(1-enyl-oleoyl)-2-oleoyl-gpe (p-18:1/18:1)*,lipid,,,,lc/ms pos late,728.55887,2534
1-(1-enyl-oleoyl)-gpc (p-18:1)*,glycerophosopholipid mtb,p-LPE,24779513,KJUNGQXFZYMUOH-FKWLWHCOSA-N,lc/ms pos late,506.3605,1547
1-(1-enyl-oleoyl)-gpe (p-18:1),lipid,p-LPE,,,lc/ms pos late,464.3136,1566
1-(1-enyl-oleoyl)-gpe (p-18:1)*,lipid,p-LPE,,,lc/ms pos late,464.3136,1566
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4),lipid,p-PC,24779388,IOYKZPNDXIIXLN-LOQSCQKMSA-N,lc/ms pos late,766.5745,2154
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,lipid,p-PC,24779388,IOYKZPNDXIIXLN-LOQSCQKMSA-N,lc/ms pos late,766.57452,2154
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpe (p-16:0/20:4),lipid,p-PE,122198210,UUYSKERSKRMYME-MAIXUNBTSA-N,lc/ms pos late,724.52757,2270
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpe (p-16:0/20:4)*,lipid,p-PE,122198210,UUYSKERSKRMYME-MAIXUNBTSA-N,lc/ms pos late,724.52757,2270
1-(1-enyl-palmitoyl)-2-dihomo-linolenoyl-gpc (p-16:0/20:3)*,,p-PC,,,lc/ms pos late,,
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpc (p-16:0/22:6)*,glycerophosopholipid mtb,p-PC,52923866,QICWUUGBNFIZAZ-KMPUTSBYSA-N,lc/ms pos late,790.5745,2041
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpe (p-16:0/22:6)*,glycerophosopholipid mtb,p-PE,122198209,WVGALBKSWOUIEZ-XNHMFJFDSA-N,lc/ms pos late,748.5276,2181
1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2),lipid,p-PC,24779386,QLEHHUPUHJPURI-PWYDUFMYSA-N,lc/ms pos late,742.5745,2226
1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,lipid,p-PC,24779386,QLEHHUPUHJPURI-PWYDUFMYSA-N,lc/ms pos late,742.57452,2226
1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2),lipid,p-PE,122198211,LJVXDBWIBQQKFU-CCJYEBHUSA-N,lc/ms pos late,700.52757,2400
1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,lipid,p-PE,122198211,LJVXDBWIBQQKFU-CCJYEBHUSA-N,lc/ms pos late,700.52757,2351
1-(1-enyl-palmitoyl)-2-myristoyl-gpc (p-16:0/14:0)*,glycerophosopholipid mtb,p-PC,52923874,SOUFUEMRDVBNJD-APMJBGCSSA-N,lc/ms pos late,690.5432,2220
1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1),lipid,p-PC,,,lc/ms pos late,744.5902,2443
1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,lipid,p-PC,,,lc/ms pos late,744.59017,2443
1-(1-enyl-palmitoyl)-2-oleoyl-gpe (p-16:0/18:1),lipid,p-PE,,,lc/ms pos late,702.5432,2600
1-(1-enyl-palmitoyl)-2-oleoyl-gpe (p-16:0/18:1)*,lipid,p-PE,,,lc/ms pos late,702.54322,2600
1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1),lipid,p-PC,52923882,FZMYLOBGNYZPQO-QLSONYGBSA-N,lc/ms pos late,716.55887,2218
1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,lipid,p-PC,52923882,FZMYLOBGNYZPQO-QLSONYGBSA-N,lc/ms pos late,716.55887,2218
1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0),lipid,p-PC,11146967,PEWXKAOBUSBJLD-MCBGMKGZSA-N,lc/ms pos late,718.5745,2454
1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,lipid,p-PC,11146967,PEWXKAOBUSBJLD-MCBGMKGZSA-N,lc/ms pos late,718.57452,2454
1-(1-enyl-palmitoyl)-gpc (p-16:0),lipid,p-LPC,10917802,HTZINLFNXLXRBC-CQLBIITFSA-N,lc/ms pos late,480.34485,1547
1-(1-enyl-palmitoyl)-gpc (p-16:0)*,lipid,p-LPC,10917802,HTZINLFNXLXRBC-CQLBIITFSA-N,lc/ms pos late,480.34485,1547
1-(1-enyl-palmitoyl)-gpe (p-16:0),lipid,p-LPE,23425815,QYTPGOPLNFESQC-RLHAVTDZSA-N,lc/ms pos late,438.2979,1558
1-(1-enyl-palmitoyl)-gpe (p-16:0)*,lipid,p-LPE,23425815,QYTPGOPLNFESQC-RLHAVTDZSA-N,lc/ms pos late,438.2979,1558
1-(1-enyl-stearoyl)-2-arachidonoyl-gpc (p-18:0/20:4),glycerophosopholipid mtb,p-PC,24779390,FHHVIBPVBBRLOR-IYACIECVSA-N,lc/ms pos late,794.6058,2350
1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4),lipid,p-PE,,,lc/ms pos late,752.5589,2511
1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,lipid,p-PE,,,lc/ms pos late,752.55887,2511
1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-gpe (p-18:0/20:3)*,glycerophosopholipid mtb,p-PE,,,lc/ms pos late,754.5745,2669
1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpc (p-18:0/22:6)*,lipid,p-PC,42607430,TXHZYNSTTCIWMJ-RXSQUPBGSA-N,lc/ms pos late,818.60582,2235
1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpe (p-18:0/22:6)*,lipid,p-PE,86289532,URPXXNCTXCOATD-FXMFQVEGSA-N,lc/ms polar,774.54431,751
1-(1-enyl-stearoyl)-2-docosapentaenoyl-gpe (p-18:0/22:5n3)*,glycerophosopholipid mtb,p-PE,,,lc/ms pos late,778.5745,2500
1-(1-enyl-stearoyl)-2-linoleoyl-gpc (p-18:0/18:2)*,glycerophosopholipid mtb,p-PC,52923944,PWPOLLAYFXIWOQ-PXSMKGAESA-N,lc/ms pos late,770.6058,2461
1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2),lipid,p-PE,122198213,XVXISDREVDGQPX-PISDLAQISA-N,lc/ms pos late,728.55887,2633
1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,lipid,p-PE,122198213,XVXISDREVDGQPX-PISDLAQISA-N,lc/ms pos late,728.55887,2633
1-(1-enyl-stearoyl)-2-oleoyl-gpc (p-18:0/18:1),glycerophosopholipid mtb,p-PC,42607428,DSWOVBIRJNAJAF-NVJOKYTBSA-N,lc/ms pos late,772.6215,2724
1-(1-enyl-stearoyl)-2-oleoyl-gpe (p-18:0/18:1),lipid,p-PE,86289530,XVYPOHCSLJZFED-QZEVRULJSA-N,lc/ms pos late,730.57452,2950
1-(1-enyl-stearoyl)-gpc (p-18:0) *,glycerophosopholipid mtb,,,,lc/ms pos late,508.3762,1645
1-(1-enyl-stearoyl)-gpc (p-18:0)*,,p-LPC,24779527,WBOMIOWRFSPZMC-AYICAFKVSA-N,lc/ms pos late,,
1-(1-enyl-stearoyl)-gpe (p-18:0),lipid,p-LPE,121596233,KACDZDULGKPXHT-HSZRJFAPSA-N,lc/ms pos late,466.3292,1649
1-(1-enyl-stearoyl)-gpe (p-18:0)*,lipid,p-LPE,121596233,KACDZDULGKPXHT-HSZRJFAPSA-N,lc/ms pos late,466.3292,1649
1-(3-aminopropyl)-2-pyrrolidone,xenobiotics,Pyrrolidines,82111,HJORCZCMNWLHMB-UHFFFAOYSA-N,lc/ms pos early,143.11789,2420
"1,11-undecanedicarboxylate",lipid,"Acids, Acyclic",10458,DXNCZXXFRKPEPY-UHFFFAOYSA-N,lc/ms neg,243.2,3578
"1,1-kestotetraose",xenobiotics,Polysaccharides,166775,FLDFNEBHEXLZRX-DLQNOBSRSA-N,lc/ms neg,665.2146,1381
"1,2,3-benzenetriol sulfate (1)",xenobiotics,Chromones,54110629,NGVLEQPKHLWZLN-UHFFFAOYSA-N,lc/ms neg,204.9812,1453
"1,2,3-benzenetriol sulfate (2)",xenobiotics,Chromones,54110629,NGVLEQPKHLWZLN-UHFFFAOYSA-N,lc/ms neg,204.98123,1709
"1,2,3-butanetriol",xenobiotics,,,,lc/ms neg,105.0557,925
"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",lipids,MGDG,,,lc/ms pos late,954.61485,1941
"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",lipid,MGDG,5282287,QUZHZFAQJATMCA-VLTMIGNISA-N,lc/ms pos late,792.56203,2046
"1,2-dilinolenoyl-gpa (18:3/18:3)*",,,,,lc/ms pos late,710.47554,2100
"1,2-dilinolenoyl-gpc (18:3/18:3)*",53179,,,,lc/ms pos late,778.53813,1800
"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",lipid,MGDG,,,lc/ms pos late,958.64615,2256
"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",lipid,MGDG,6535011,BROOMPUVDPTGEG-JLHGMIPQSA-N,lc/ms pos late,796.59333,2415
"1,2-dilinoleoyl-gpa (18:2/18:2)*",lipids,,,,lc/ms polar,695.46572,914
"1,2-dilinoleoyl-gpc (18:2/18:2)",lipid,PC,5288075,FVXDQWZBHIXIEJ-LNDKUQBDSA-N,lc/ms pos late,782.56944,2006
"1,2-dilinoleoyl-gpe (18:2/18:2)",lipid,PE,,,lc/ms pos late,740.52248,2150
"1,2-dilinoleoyl-gpe (18:2/18:2)*",lipid,PE,,,lc/ms pos late,740.52248,2083
"1,2-dilinoleoyl-gpi (18:2/18:2)*",lipids,,,,lc/ms pos late,876.55966,2388
"1,2-dimyristoyl-gpc (14:0/14:0)",lipid,PC,,CITHEXJVPOWHKC-UUWRZZSWSA-N,lc/ms pos late,678.50683,1972
"1,2-dioleoyl-glycosyl-gpe (18:1/18:1)",lipid,,,,lc/ms pos late,906.6066,
"1,2-dioleoyl-gpa (18:1/18:1)*",lipid,,,,lc/ms pos late,718.53814,3203
"1,2-dioleoyl-gpc (18:1/18:1)",lipid,PC,10350317,SNKAWJBJQDLSFF-NVKMUCNASA-N,lc/ms pos late,786.6007,2346
"1,2-dioleoyl-gpc (18:1/18:1)*",lipid,PC,10350317,SNKAWJBJQDLSFF-NVKMUCNASA-N,lc/ms pos late,786.60074,2346
"1,2-dioleoyl-gpe (18:1/18:1)",lipid,PE,9546757,,lc/ms pos late,744.55378,2485
"1,2-dioleoyl-gpg (18:1/18:1)",lipid,,,,lc/ms polar,773.53381,715
"1,2-dioleoyl-gpi (18:1/18:1)",lipid,,,,lc/ms pos late,861.54985,3121
"1,2-dioleoyl-gps (18:1/18:1)",lipid,,,,lc/ms pos late,786.52905,2800
"1,2-dipalmitoleoyl-gpc (16:1/16:1)*",lipid,,,,lc/ms pos late,730.53813,1992
"1,2-dipalmitoleoyl-gpe (16:1/16:1)*",lipid,,,,lc/ms pos late,688.49119,2063
"1,2-dipalmitoleoyl-gpg (16:1/16:1)*",lipid,,,,lc/ms pos late,736.5123,2400
"1,2-dipalmitoleoyl-gpi (16:1/16:1)*",lipid,,,,lc/ms pos late,824.52836,2352
"1,2-dipalmitoylglycerol",lipid,DG,99931,JEJLGIQLPYYGEE-UHFFFAOYSA-N,gc/ms,145,2600
"1,2-dipalmitoyl-gpc (16:0/16:0)",lipid,PC,452110,KILNVBDSWZSGLL-KXQOOQHDSA-N,lc/ms pos late,734.56944,2365
"1,2-dipalmitoyl-gpe (16:0/16:0)",lipid,PE,445468,SLKDGVPOSSLUAI-PGUFJCEWSA-N,lc/ms pos late,692.52248,2498
"1,2-dipalmitoyl-gpe (16:0/16:0)*",lipid,PE,445468,SLKDGVPOSSLUAI-PGUFJCEWSA-N,lc/ms pos late,692.52248,2498
"1,2-dipalmitoyl-gpg (16:0/16:0)",lipid,,,,lc/ms pos late,740.54362,3157
"1,2-dipalmitoyl-gpi (16:0/16:0)*",lipid,PI,,,lc/ms pos late,828.55966,3122
"1,2-dipalmitoyl-gps (16:0/16:0)",lipid,,,,lc/ms pos late,736.51231,2740
"1,2-distearoyl-gpc (18:0/18:0)",lipid,PC,94190,NRJAVPSFFCBXDT-HUESYALOSA-N,lc/ms pos late,790.63204,2950
"1,2-distearoyl-gpg (18:0/18:0)",lipid,,,,lc/ms polar,777.5651,735
"1,2-propanediol",xenobiotics,Propylene Glycols,1030,DNIAPMSPPWPWGF-UHFFFAOYSA-N,gc/ms,117,1041
"1,3,7-trimethylurate",xenobiotics,Xanthines,79437,BYXCFUMGEBZDDI-UHFFFAOYSA-N,lc/ms neg,209.068,1985
"1,3-diaminopropane",,,,,lc/ms pos early,75.09168,3025
"1,3-dihydroxyacetone",carbohydrate,Ketoses,670,RXKJFZQQPQGTFL-UHFFFAOYSA-N,gc/ms,103,1263
"1,3-dimethylurate",xenobiotics,Xanthines,70346,OTSBKHHWSQYEHK-UHFFFAOYSA-N,lc/ms neg,195.0524,1671.4
"1,3-dipalmitoylglycerol",lipid,Glycerides,68149,GFAZGHREJPXDMH-UHFFFAOYSA-N,gc/ms,371.3,2637
"1,3-propanediol",xenobiotics,Glycols,10442,YPFDHNVEDLHUCE-UHFFFAOYSA-N,lc/ms pos early,77.05971,832
"1,5-anhydroglucitol (1,5-ag)",carbohydrate,Deoxy Sugars,64960,MPCAJMNYNOGXPB-SLPGGIOYSA-N,lc/ms neg,163.06119,802
"1,6-anhydroglucose",xenobiotics,Hexoses,2724705,TWNIBLMWSKIRAT-UHFFFAOYSA-N,lc/ms neg,161.04554,919.7
"1,7-dimethylurate",xenobiotics,Xanthines,91611,NOFNCLGCUJJPKU-UHFFFAOYSA-N,lc/ms neg,195.0524,1578.6
"10,11-dihydro-10-hydroxycarbamazepine",,Dibenzazepines,114709,BMPDWHIDQYTSHX-UHFFFAOYSA-N,lc/ms pos early,,
10-heptadecenoate (17:1n7),lipid,Eicosanoids,5312435,GDTXICBNEOEPAZ-FPLPWBNLSA-N,lc/ms neg,267.23295,5555
10-hydroxystearate,lipid,Fatty Acids,78391299,PAZZVPKITDJCPV-UHFFFAOYSA-M,lc/ms neg,299.25917,5370
10-hydroxywarfarin,xenobiotics,4-Hydroxycoumarins,54692492,BPZSPAZBZFZZBN-UHFFFAOYSA-N,lc/ms neg,323.0925,3910
10-nodecenoate (19:1n9),lipid,,,,lc/ms neg,295.26425,5780
10-nonadecenoate (19:1n9),lipid,Eicosanoids,5312513,BBOWBNGUEWHNQZ-KTKRTIGZSA-N,lc/ms neg,295.26425,5780
10-undecenoate (11:1n1),lipid,"Fatty Acids, Monounsaturated",5634,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,lc/ms neg,183.13905,5085.8
11beta-hydroxyandrosterone glucuronide,lipid,steroid-glucuronide,,BRPLOVMHAFXVOQ-HUMIJZDLSA-N,lc/ms neg,481.2443,4209
11beta-hydroxyetiocholanolone glucuronide*,lipid,steroid-glucuronide,,BRPLOVMHAFXVOQ-FCDCEIOTSA-N,lc/ms neg,481.2443,4160
11-dehydrocorticosterone,lipid,Pregnenediones,6290,FUFLCEKSBBHCMO-UHFFFAOYSA-N,lc/ms neg,345.20604,892
11-dehydrocorticosterone sulfate,lipid,steroid sulfate,,,lc/ms neg,423.1483,4296
11-ketoetiocholanolone glucuronide,lipid,steroid-glucuronide,270604,QTXWOOLAHRQMGZ-SGEMAHFXSA-N,lc/ms neg,479.22865,4280
11-ketoetiocholanolone sulfate,lipid,steroid sulfate,,,lc/ms neg,383.1534,4420
12(13)-epome,lipid,,,,lc/ms neg,295.22787,5323
"12,13-dihome",lipid,Oxylipins,10236635,CQSLTKIXAJTQGA-FLIBITNWSA-N,lc/ms neg,313.23843,5137
"12,13-epoxy-9-keto-10(trans)-octadecenoate",lipids,,,,lc/ms neg,309.2,5123.6
"12,13-hydroxyoctadec-9(z)-enoate",,,,,lc/ms neg,313.4,5137
12-dehydrocholate,lipid,bile acids,94235,MIHNUBCEFJLAGN-DMMBONCOSA-N,lc/ms neg,405.26464,4871
12-hepe,lipid,Oxylipins,10041593,MCRJLMXYVFDXLS-QGQBRVLBSA-N,lc/ms neg,317.21221,5265
12-hete,lipid,Oxylipins,5353272,ZNHVWPKMFKADKW-FYMOKONMSA-N,lc/ms neg,319.22786,5326
12-hhtre,lipid,Oxylipins,5283141,KUKJHGXXZWHSBG-WBGSEQOASA-N,lc/ms neg,279.19657,5175
12-ketolithocholate,lipid,bile acids,3080612,CVNYHSDFZXHMMJ-VPUMZWJWSA-N,lc/ms neg,389.26973,5130
13(s)-hpotre,lipids,,,,lc/ms pos,328.2,5239.4
"13,14-dihydro-15-keto-prostaglandin a2",,,,,lc/ms neg,333.4,4822
13-hode,,,,,lc/ms neg,295.3,5251
13-hode + 9-hode,lipid,Oxylipins,43013,XBGUTAISSLTGIB-UHFFFAOYSA-N,lc/ms neg,295.22825,5275
"13-hote (6z,9z,11e or 9z,11e,15z)",lipids,,,,lc/ms pos,277.3,5374
13-hotre,46109,,,,lc/ms pos late,277.21621,1313
13-methylmyristate,lipid,Fatty Acids,151014,ZOCYQVNGROEVLU-UHFFFAOYSA-N,lc/ms neg,241.2173,5499
13-methylmyristate (i15:0),lipid,Fatty Acids,151014,ZOCYQVNGROEVLU-UHFFFAOYSA-N,lc/ms neg,241.2173,5499
13-methylmyristic acid,lipid,Fatty Acids,151014,ZOCYQVNGROEVLU-UHFFFAOYSA-N,lc/ms neg,241.3,5498
13-octadecenoate (18:1n5),lipid,,,,gc/ms,339.3,1993.4
"13s-hydroperoxy-9z,11e,15z-octadecatrienoate",,,,,lc/ms pos,328.2,5239.4
"14,15-dihetre",lipid,,,,lc/ms neg,337.2384,5188
14-hdohe/17-hdohe,lipid,Oxylipins,6439179,,lc/ms neg,343.22786,5296
15-hete,lipid,Arachidonic Acids,5280724,JSFATNQSLKRBCI-VAEKSGALSA-N,lc/ms neg,319.22786,5298
15-kete,,,,,lc/ms neg,317.21221,5270
15-methylpalmitate,lipid,Fatty Acids,17903417,IIUXHTGBZYEGHI-UHFFFAOYSA-M,lc/ms neg,269.24868,5695
15-methylpalmitate (i17:0),lipid,Fatty Acids,17903417,IIUXHTGBZYEGHI-UHFFFAOYSA-M,lc/ms neg,269.24868,5695
15-methylpalmitate (isobar with 2-methylpalmitate),lipid,Fatty Acids,17903417,IIUXHTGBZYEGHI-UHFFFAOYSA-M,lc/ms neg,269.4,5698
15-methylpalmitate_1,lipid,,,,gc/ms,327.3,1936
15-methylpalmitate_2,lipid,,,,lc/ms neg,269.4,5698
16a-hydroxy dhea 3-sulfate,lipid,Androstenols,20848950,ALBNSVAJDFJRKQ-DNKQKWOHSA-M,lc/ms neg,383.15338,4240
16alpha-hydroxy dhea 3-sulfate,lipid,Androstenols,20848951,ALBNSVAJDFJRKQ-DNKQKWOHSA-N,lc/ms neg,,
16-hydroxypalmitate,lipid,HFA,7058075,UGAGPNKCDRTDHP-UHFFFAOYSA-M,lc/ms neg,271.22786,5236.2
"17,18-dihete",eicosanoid,,,,lc/ms neg,335.22278,5112
"17,18-dihydroxy-5z,8z,11z,14z-eicosatetraenoate",lipid,,,,lc/ms neg,335.2,5104.1
17alpha-hydroxypregnanolone glucuronide,lipid,steroid-glucuronide,,,lc/ms neg,509.2756,5071.9
17alpha-hydroxypregnenolone 3-sulfate,lipid,steroid sulfate,644042,OMOKWYAQVYBHMG-TVWVXWENSA-N,lc/ms neg,411.1847,4800
17alpha-hydroxypregnolone glucuronide,lipid,,,,lc/ms neg,509.2756,5071.9
17alpha-hydroxyprogesterone,lipid,,,,lc/ms pos,331.3,5133.8
17-alpha-hydroxyprogesterone,lipid,,,,lc/ms neg,,
17beta-estradiol,,,,,lc/ms neg,271.17035,5127
17-hdohe,,,,,lc/ms neg,343.22786,5295
17-methylstearate,lipid,Fatty Acids,3083779,YETXGSGCWODRAA-UHFFFAOYSA-N,lc/ms neg,297.2799,5993
17-methylstearate (i19:0),lipid,Fatty Acids,3083779,YETXGSGCWODRAA-UHFFFAOYSA-N,lc/ms neg,297.2799,5993
18-hepe,lipid,,,,lc/ms neg,317.3,5202
18-methylnonadecanoate (i20:0),lipid,,,,lc/ms neg,311.29555,6170
"19,20-dihdpa",lipid,,,,lc/ms neg,361.23843,5212
1-adrenoyl-gpc (22:4)*,glycerophosopholipid mtb,LPC,52924039,ZOJBSSVHFSBHMP-JJJSWPRASA-N,lc/ms pos late,572.3711,1512
1-adrenoyl-gpe (22:4)*,,LPE,,,lc/ms neg,,
1-aminocyclopropanecarboxylic acid,hormone metabolism,Amino Acids,535,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,lc/ms pos early,102.05496,2047
1-arachidonoylglycerophosphocholine (20:4n6),lipid,LPC,52924038,IGJKYDBBINVMLH-JXRLJXCWSA-N,lc/ms pos,544.3,5554
1-arachidonoylglycerophosphocholine (20:4n6)*,lipid,LPC,52924038,IGJKYDBBINVMLH-JXRLJXCWSA-N,lc/ms pos,544.3,5554
1-arachidonoylglycerophosphocholine*,lipid,LPC,52924038,IGJKYDBBINVMLH-JXRLJXCWSA-N,lc/ms pos,544.3,5554
1-arachidonoylglycerophosphoethanolamine,lipid,LPE,42607465,ROPRRXYVXLDXQO-XSQXPFHXSA-N,lc/ms neg,500.3,5731
1-arachidonoylglycerophosphoethanolamine*,lipid,LPE,42607465,ROPRRXYVXLDXQO-XSQXPFHXSA-N,lc/ms neg,500.3,5731
1-arachidonoylglycerophosphoinositol,lipid,LPI,86290034,LXUGKKVCSTYZFK-VUSDMFPISA-N,lc/ms neg,619.4,5479
1-arachidonoylglycerophosphoinositol*,lipid,LPI,86290034,LXUGKKVCSTYZFK-VUSDMFPISA-N,lc/ms neg,619.4,5479
1-arachidonoylglyercophosphate,lipid,LPA,136212577,MQNJYFKSBIEJTA-PWZWHAFSSA-N,lc/ms neg,457.23606,5488.5
1-arachidonoyl-gpa (20:4),lipid,LPA,71728371,XBFQFMCUPHZKTI-NZRYSPDRSA-L,lc/ms neg,457.23606,5499
