BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
phosphate,energy,Phosphorus Acids,1004,NBIIXXVUZAFLBC-UHFFFAOYSA-N,lc/ms pos early,98.98418,576
"phosphatidylcholine (14:0/14:0, 16:0/12:0)",glycerophosopholipid mtb,PC,,,lc/ms pos late,678.5068,1972
"phosphatidylcholine (15:0/18:1, 17:0/16:1)*",glycerophosopholipid mtb,PC,,,lc/ms pos late,746.5694,2224
"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)*",,PC,,,lc/ms pos late,,
"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*",glycerophosopholipid mtb,PC,,,lc/ms pos late,808.5851,2100
"phosphatidylcholine (18:0/20:2, 20:0/18:2)*",glycerophosopholipid mtb,PC,,,lc/ms pos late,814.632,2639
"phosphatidylcholine (18:0/20:5, 16:0/22:5n6)*",,PC,,,lc/ms pos late,,
"phosphatidylcholine (o-18:1/20:4, o-16:0/22:5n3)*",,PC,,,lc/ms pos late,,
"phosphatidylethanolamine (p-18:1/20:4, p-16:0/22:5n3)*",,PE,,,lc/ms pos late,,
phosphocholine,lipid,Choline,1014,YHHSONZFOIEMCP-UHFFFAOYSA-N,lc/ms pos early,184.0733,700
phospho-enol-pyruvate,carbohydrate,,,,lc/ms pos early,168.98966,585
phosphoenolpyruvate (pep),carbohydrate,,,,lc/ms neg,166.9751,587.3
phosphoethanolamine,lipid,Amino Alcohols,1015,SUHOOTKUPISOBE-UHFFFAOYSA-N,lc/ms neg,140.01182,638
phosphoethanolamine (pe),lipid,Amino Alcohols,1015,SUHOOTKUPISOBE-UHFFFAOYSA-N,lc/ms neg,140.0118,638
phosphopantetheine,cofactors and vitamins,,,,lc/ms neg,357.08908,1597
phosphoryl-choline,lipids,,,,lc/ms pos early,184.07332,700
phosphoryl-ethanolamine,lipids,,,,lc/ms polar,140.01182,4559.1
phosphothreonine,amino acid,,,,lc/ms pos early,200.03185,605
p-hydroxyatorvastatin,xenobiotics,Pyrroles,9851106,SOZOATLLFFVAPM-KAYWLYCHSA-N,lc/ms neg,573.2406,4650
p-hydroxyatorvastatin lactone,xenobiotics,,,,lc/ms pos late,557.2446,990
p-hydroxybenzaldehyde,xenobiotics,Aldehydes,126,RGHHSNMVTDWUBI-UHFFFAOYSA-N,lc/ms neg,121.0295,2040
p-hydroxy-phenylpyruvate,amino acid,,,,lc/ms neg,179.03498,1690.1
phytanate,xenobiotics,Diterpenes,11966211,RLCKHJSFHOZMDR-UHFFFAOYSA-M,lc/ms neg,311.29555,5908
phytol,"cofactors, prosthetic groups, electron carriers",,,,gc/ms,143.1,1964.7
phytonadione (vitamin k1),"cofactors, prosthetic groups, electron carriers",,,,gc/ms,596.5,2407
phytosphingosine,lipid,Amino Alcohols,122121,AERBNCYCJBRYDG-KSZLIROESA-N,lc/ms pos late,318.30027,1367
phytospingosine,lipids,,,,lc/ms pos late,318.30027,1367
pi,"cofactors, prosthetic groups, electron carriers",,,,lc/ms neg,98.98418,576
pi(16:0/16:0),phosphatidylinositol,PI,24779556,IBUKXRINTKQBRQ-CSRWQWPHSA-N,dms-ms,,
pi(16:0/16:1),pi,PI,,QAWXBJDYTIBLRK-KHSFEHQMSA-N,dms-ms,,
pi(16:0/18:1),phosphatidylinositol,PI,5771758,YVNORLDGMYIHEG-YXPBIPRFSA-N,dms-ms,,
pi(16:0/18:2),phosphatidylinositol,PI,11072889,BSNJSZUDOMPYIR-FJESRZELSA-N,dms-ms,,
pi(16:0/18:3),pi,PI,,,dms-ms,,
pi(16:0/20:3),phosphatidylinositol,PI,52928328,VZEJFGXIOVVAES-KQIHDRGYSA-N,dms-ms,,
pi(16:0/20:4),phosphatidylinositol,PI,71296227,KIQYUSYSJTUGFZ-GWAZTMTOSA-N,dms-ms,,
pi(16:0/22:4),phosphatidylinositol,PI,,PSFLOZGKTVHJEH-HACPKTPBSA-N,dms-ms,,
pi(16:0/22:5),phosphatidylinositol,PI,,,dms-ms,,
pi(16:0/22:6),phosphatidylinositol,PI,52927464,FPHAZHKZJQOPBU-BYFJYSEFSA-N,dms-ms,,
pi(18:0/16:0),pi,PI,52928311,AWOYEONIQYBDHZ-FHYZFUPPSA-N,dms-ms,,
pi(18:0/16:1),phosphatidylinositol,PI,52928310,QMAMEGDTQPWOEM-BVXJNBONSA-N,dms-ms,,
pi(18:0/18:1),phosphatidylinositol,PI,52927527,PONHAMBNZIFEKT-KPYINBQTSA-N,dms-ms,,
pi(18:0/18:2),phosphatidylinositol,PI,86289142,KZVRAFHIKMDULK-HJCWERLXSA-N,dms-ms,,
pi(18:0/18:3),phosphatidylinositol,PI,,,dms-ms,,
pi(18:0/20:2),phosphatidylinositol,PI,52928387,RZFIPFIGUWXYNB-WHQCWMRFSA-N,dms-ms,,
pi(18:0/20:3),phosphatidylinositol,PI,52927962,SRBHCRWAHUOXQL-JNCPYLHYSA-N,dms-ms,,
pi(18:0/20:4),phosphatidylinositol,PI,42607491,KRTOMQDUKGRFDJ-LWFBQQSYSA-N,dms-ms,,
pi(18:0/20:5),phosphatidylinositol,PI,52928052,WDEXQPPLSHRNLR-NVCSOJBGSA-N,dms-ms,,
pi(18:0/22:4),phosphatidylinositol,PI,,,dms-ms,,
pi(18:0/22:5),phosphatidylinositol,PI,52927873,GMEAPEOMXUTQES-IGSKVUGCSA-N,dms-ms,,
pi(18:0/22:6),phosphatidylinositol,PI,52927465,DJVOKHFQPGWUPK-PNBUVQRSSA-N,dms-ms,,
pi(18:1/16:1),phosphatidylinositol,PI,,,dms-ms,,
pi(18:1/18:1),phosphatidylinositol,PI,,,dms-ms,,
pi(18:1/18:2),phosphatidylinositol,PI,86289141,KZVRAFHIKMDULK-HJCWERLXSA-M,dms-ms,,
pi(18:1/20:3),phosphatidylinositol,PI,,,dms-ms,,
pi(18:1/20:4),phosphatidylinositol,PI,,HKZUQGZNSPCSAQ-JRRRANSLSA-N,dms-ms,,
pi(18:2/18:2),pi,PI,86289151,JTPRPYYVVJBCFF-NCGFHHSNSA-N,dms-ms,,
picolinate,amino acid,"Acids, Heterocyclic",1018,SIOXPEMLGUPBBT-UHFFFAOYSA-N,lc/ms pos early,124.03931,910
picolinoylglycine,lipid,"Acids, Heterocyclic",11788622,MNYZGNSHBPLAFN-UHFFFAOYSA-N,lc/ms neg,179.0462,1867
picolite,amino acid,,,,lc/ms pos early,124.03931,910
pimelate (c7-dc),lipid,FFA,385,WLJVNTCWHIRURA-UHFFFAOYSA-N,lc/ms polar,159.06628,2745
pimelate (heptanedioate),lipid,FFA,385,WLJVNTCWHIRURA-UHFFFAOYSA-N,lc/ms polar,159.06628,2745
pimeloylcarnitine/3-methyladipoylcarnitine,lipid,CAR,,,lc/ms pos early,304.17547,2773
pimeloylcarnitine/3-methyladipoylcarnitine (c7-dc),lipid,CAR,71464499,NTBUXPPQHCFLOM-UHFFFAOYSA-N,lc/ms pos early,304.17547,2773
pinitol,lipid,Sugar Alcohols,164619,DSCFFEYYQKSRSV-FEPQRWDDSA-N,lc/ms polar,239.07724,2039.6
pinoresinol,xenobiotics,,,,lc/ms neg,357.1344,4167
pinosylvin,xenobiotics,,,,lc/ms neg,211.0765,4939
pinosylvin monomethylether,xenobiotics,,,,lc/ms neg,225.0921,5306
pioglitazone,xenobiotics,Thiazolidinediones,4829,HYAFETHFCAUJAY-UHFFFAOYSA-N,lc/ms pos early,357.1267,3240
pipecolate,amino acid,Imino Acids,849,HXEACLLIILLPRG-UHFFFAOYSA-N,lc/ms pos early,130.08626,2200
piperidine,xenobiotics,"Heterocyclic Compounds, 1-Ring",8082,NQRYJNQNLNOLGT-UHFFFAOYSA-N,lc/ms pos early,86.09643,2500
piperine,xenobiotics,Heterocyclic Compounds,638024,MXXWOMGUGJBKIW-YPCIICBESA-N,lc/ms pos late,286.1438,1168
pivaloylcarnitine,amino acid,CAR,126894,YICAQFPUDACYGQ-UHFFFAOYSA-N,lc/ms pos,246.2,2370
pivaloylcarnitine (c5),xenobiotics,CAR,126894,YICAQFPUDACYGQ-UHFFFAOYSA-N,lc/ms pos early,246.16999,3005
ponciretin,xenobiotics,Plant Extracts,5118250,HMUJXQRRKBLVOO-UHFFFAOYSA-N,lc/ms neg,285.0768,4365
prednisolone,xenobiotics,Prednisolone,5755,OIGNJSKKLXVSLS-VWUMJDOOSA-N,lc/ms neg,359.18639,4701
pregabalin,xenobiotics,gamma-Aminobutyric Acid,5486971,AYXYPKUFHZROOJ-ZETCQYMHSA-N,lc/ms pos early,160.13321,3123
pregn steroid monosulfate c21h34o5s*,lipid,steroid sulfate,,,lc/ms neg,397.20541,5000
pregn steroid monosulfate*,lipid,Pregnenes,105074,DIJBBUIOWGGQOP-QGVNFLHTSA-N,lc/ms neg,397.3,5000
pregnanediol-3-glucuronide,lipid,Pregnanes,123796,ZFFFJLDTCLJDHL-JQYCEVDMSA-N,lc/ms neg,495.29634,5145
pregnanolone/allopregnanolone sulfate,lipid,Pregnanes,44322229,MENQCIVHHONJLU-YZRLXODZSA-N,lc/ms neg,397.20541,5160
pregnediol-3-glucuronide,lipid,,,,lc/ms neg,495.29634,5145
pregnen-diol disulfate c21h34o8s2*,lipid,steroid sulfate,,,lc/ms neg,238.07747,3868
pregnen-diol disulfate*,lipid,Pregnanes,219833,YWYQTGBBEZQBGO-BERLURQNSA-N,lc/ms neg,238.0775,3868
pregnenediol disulfate (c21h34o8s2)*,lipid,steroid sulfate,,,lc/ms neg,238.07747,3868
pregnenediol sulfate (c21h34o5s)*,lipid,steroid sulfate,,,lc/ms neg,397.2054,5000
pregnenetriol disulfate*,lipid,steroid sulfate,,,lc/ms neg,246.0749,3504
pregnenetriol sulfate*,lipid,steroid sulfate,129671303,MBZWTCCXLKPWAT-ZAUVMOETSA-N,lc/ms neg,413.2003,4749
pregnenolone sulfate,lipid,Pregnenes,105074,DIJBBUIOWGGQOP-QGVNFLHTSA-N,lc/ms neg,395.1898,5100
prephenic acid,amino acid,,,,lc/ms polar,163.04,2603
pristanate,lipid,Diterpenes,123929,PAHGJZDQXIOYTH-UHFFFAOYSA-N,lc/ms neg,297.2799,5773
pro,amino acid,,,,lc/ms pos early,116.07061,1603
probenecid,xenobiotics,Sulfonamides,4911,DBABZHXKTCFAPX-UHFFFAOYSA-N,lc/ms neg,284.0962,4198
progesterone,lipid,Hormones,5994,RJKFOVLPORLFTN-LEKSSAKUSA-N,lc/ms pos late,315.2319,1308.3
pro-hydroxy-pro,amino acid,Oligopeptides,11902892,ONPXCLZMBSJLSP-ALKRTJFJSA-N,lc/ms pos early,229.11829,2128
proline,amino acid,Imino Acids,145742,ONIBWKKTOPOVIA-BYPYZUCNSA-N,lc/ms pos early,116.07061,1603
prolylalanine,peptide,Oligopeptides,418041,FELJDCNGZFDUNR-UHFFFAOYSA-N,lc/ms pos,187.10772,2290
prolylasparagine,peptide,,,,lc/ms neg,228.1,700.4
